O'Neill2002-control,,O'Neill2002-burned,
X,Y,X,Y
142.8590495484376,0.31100263021254526,142.8565214800691,0.36987853355010647
146.89315719137562,0.36111796801184903,148.87140899379472,0.2898315472289139
155.90867033818233,0.39983401571317967,155.8283467113831,0.27048203539295734
162.8964428290532,0.6623768949872748,162.86082004749701,0.4919918965619976
176.8473966003013,0.7601646223644678,170.88218946042338,0.6832109021884394
183.80303197963923,0.7711451213387699,177.79971229390281,0.5817902469335468
190.89905176156142,0.5127288667954821,183.82080506635114,0.3572296796928869
197.8925698623607,0.6414628748478479,190.85833453920208,0.46098773418680494
206.81703424383514,0.8006035018428515,197.90214587890804,0.4184480894782989
211.88462389663005,0.7820711434189358,211.807364595126,0.5813544317804584
217.84887343485326,0.8813263421319194,217.81443807934897,0.6832875103208182
222.87049820822085,0.9332649534818398,228.93299767621997,0.7443884543032493
228.8969535499357,0.583816106434232,222.88681574041757,0.5532477592121283
237.74457997463418,0.5324273712344976,237.95417982482272,0.6510797490658065
260.93872626211896,0.3665316093666213,239.94070530553876,0.3871085537235812
170.75429218341688,0.6617963755841372,261.0269405265532,0.31211940654233494
,,206.89548097139107,0.973666380095505
