control,,fire,
X,Y,X,Y
2016/04/30,-0.23640121447123263,2016/04/30,-0.16240199485435625
2016/05/04,-0.3453804977381125,2016/05/04,-0.2342673543792948
2016/05/07,-0.5289686749338536,2016/05/07,-0.30674238821621813
2016/05/12,-0.526377559107928,2016/05/12,-0.4892636353659938
2016/05/16,-0.5243199083049888,2016/05/16,-0.8205454146395077
2016/05/19,-0.967095877382306,2016/05/19,-0.7448695906646741
2016/05/22,-1.076608625672172,2016/05/22,-0.8544585482435316
2016/05/26,-1.0375132604162935,2016/05/26,-0.7781730499567203
2016/05/29,-0.9987989416054006,2016/05/29,-0.9617612271524578
2016/06/02,-0.9966650815134628,2016/06/02,-1.6263062272134299
2016/06/06,-0.9576459255465757,2016/06/06,-1.364984575239916
2016/06/10,-1.140624428430339,2016/06/10,-1.3258130006950353
2016/06/14,-1.323602931314099,2016/06/14,-1.5829431417736686
2016/06/18,-1.3216214898001546,2016/06/18,-1.395620709417038
2016/06/25,-1.5401135213568935,2016/06/22,-1.6157131360427321
2016/07/04,-1.905689480679424,2016/06/25,-1.466038092451015
2016/07/19,-0.3422559168892043,2016/07/04,-0.350181682944978
2016/08/01,0.8869237053565904,2016/07/13,-0.8639085000792619
2016/08/08,0.8536964553535427,2016/07/19,-0.8235937861994174
2016/08/18,1.1922943263708454,2016/08/01,0.18313092146174625
2016/09/11,1.130869639438604,2016/08/08,-0.4057382546243886
2016/09/16,2.4150418846252286,2016/08/18,-0.6596676055651152
2016/09/25,3.0421223982148717,2016/09/11,-0.31360122422602643
2016/10/01,1.2675128946116914,2016/09/16,-0.8294619014522482
2016/10/11,0.8727182938874058,2016/09/25,-0.02469180963529638
2016/10/15,0.5637048688590554,2016/10/01,0.02295423784613604
2016/10/23,1.6879321066686117,2016/10/11,-0.505084683761936
2016/10/29,1.477887112704387,2016/10/15,-0.5918718220726511
2016/11/07,1.216044189194129,2016/10/23,0.03456853348941635
,,2016/10/29,0.14441965102242094
,,2016/11/07,0.3625855068222563
