control,,fire,
X,Y,X,Y
4.444191343963553,0,4.871298405466971,-0.9195402298850563
4.706150341685649,1.0057471264367823,5.2243735763097945,0.028735632183909843
4.933940774487471,0.9770114942528743,5.674259681093394,0.948275862068968
5.190205011389521,1.9827586206896584,6.687927107061504,0.05747126436781613
5.7027334851936216,5.000000000000002,7.405466970387245,0.05747126436781613
6.2266514806378135,1.0057471264367823,7.7300683371298415,-0.02873563218390629
6.687927107061504,0.05747126436781613,8.618451025056947,1.0632183908045985
7.456719817767654,1.0057471264367859,,
7.752847380410024,-0.02873563218390629,,
8.572892938496583,1.0344827586206904,,
9.210706150341688,0.9770114942528743,,
