control,,fire,
X,Y,X,Y
4.4417212087453,3.2934131736526524,4.884243141623729,91.91616766467061
4.71139117114608,64.97005988023946,5.238755048043449,94.31137724550891
4.944993733463306,47.00598802395206,5.708118646428074,121.25748502994006
5.200285475560507,55.988023952095745,6.745439353850439,179.3413173652694
5.732906280462332,94.9101796407185,7.450529174209719,151.7964071856287
6.263960451190644,160.7784431137724,7.790453975769392,105.08982035928139
6.757450215847375,172.75449101796403,,
7.513298983428491,172.15568862275444,,
7.816355660771481,159.58083832335325,,
8.64364294666481,130.23952095808374,,
9.312665366940537,123.05389221556885,,
