control,,fire,
time,CH4,time,CH4
30/04/2016,-0.236401214,30/04/2016,-0.162401995
04/05/2016,-0.345380498,04/05/2016,-0.234267354
07/05/2016,-0.528968675,07/05/2016,-0.306742388
12/05/2016,-0.526377559,12/05/2016,-0.489263635
16/05/2016,-0.524319908,16/05/2016,-0.820545415
19/05/2016,-0.967095877,19/05/2016,-0.744869591
22/05/2016,-1.076608626,22/05/2016,-0.854458548
26/05/2016,-1.03751326,26/05/2016,-0.77817305
29/05/2016,-0.998798942,29/05/2016,-0.961761227
02/06/2016,-0.996665082,02/06/2016,-1.626306227
06/06/2016,-0.957645926,06/06/2016,-1.364984575
10/06/2016,-1.140624428,10/06/2016,-1.325813001
14/06/2016,-1.323602931,14/06/2016,-1.582943142
18/06/2016,-1.32162149,18/06/2016,-1.395620709
25/06/2016,-1.540113521,22/06/2016,-1.615713136
04/07/2016,-1.905689481,25/06/2016,-1.466038092
19/07/2016,-0.342255917,04/07/2016,-0.350181683
01/08/2016,0.886923705,13/07/2016,-0.8639085
08/08/2016,0.853696455,19/07/2016,-0.823593786
18/08/2016,1.192294326,01/08/2016,0.183130921
11/09/2016,1.130869639,08/08/2016,-0.405738255
16/09/2016,2.415041885,18/08/2016,-0.659667606
25/09/2016,3.042122398,11/09/2016,-0.313601224
01/10/2016,1.267512895,16/09/2016,-0.829461901
11/10/2016,0.872718294,25/09/2016,-0.02469181
15/10/2016,0.563704869,01/10/2016,0.022954238
23/10/2016,1.687932107,11/10/2016,-0.505084684
29/10/2016,1.477887113,15/10/2016,-0.591871822
07/11/2016,1.216044189,23/10/2016,0.034568533
mean,-0.207550918,29/10/2016,0.144419651
,,07/11/2016,0.362585507
,,mean,-0.761333142
