time,Rs,mean-control,year
15/05/2006,53.32427014,73.4353814,2006
01/07/2006,117.2601741,65.14220605,2007
21/08/2006,83.72371198,61.86077962,2008
17/09/2006,39.43336937,,
12/05/2007,39.98338015,,
14/08/2007,113.3703512,,
17/09/2007,42.0728868,,
31/05/2008,63.9240739,,
27/08/2008,81.9228392,,
15/09/2008,39.73542577,,
